efop__1633605762,1,0.0,8.7579669952,0.0,8.7579669952
efop__1633609006,1,0.0,14.542016983,0.0,14.542016983
efop__1633616470,1,0.0,7.616476059,0.0,7.616476059
efop__1633616653,1,0.0,10.7457609177,0.0,10.7457609177
efop__1633617295,1,0.0,9.709487915,0.0,9.709487915
efop__1633617370,1,0.0,8.7525281906,0.0,8.7525281906
efop__1633617532,1,0.0,8.0056228638,0.0,8.0056228638
efop__1633618333,1,0.0,9.6013269424,0.0,9.6013269424
efop__1633618404,1,0.0,8.8575258255,0.0,8.8575258255
efop__1633618437,1,0.0,10.3154201508,0.0,10.3154201508
efop__1633619213,1,0.0,10.7763147354,0.0,10.7763147354
efop__1633620403,1,0.0,11.4753246307,0.0,11.4753246307
efop__1633620569,1,0.0,13.3932323456,0.0,13.3932323456
efop__1634120174,1,0.0,9.9455423355,0.0,9.9455423355
efop__1634123707,1,0.0,12.6179046631,0.0,12.6179046631
efop__1634123707,3,0.0,15.0724000931,0.0,5.2217783928
efop__1634123707,4,0.0,1.8107475042,0.0,2.7710697651
efop__1634123707,5,0.0,1.7761802673,0.0,2.7109980583
efop__1634124127,1,0.0,11.5607290268,0.0,11.5607290268
efop__1634124159,1,0.0,9.8702030182,0.0,9.8702030182
efop__1634124189,1,0.0,11.3533267975,0.0,11.3533267975
efop__1634124189,3,0.0,13.9788951874,0.0,3.505084753
efop__1634124189,4,0.0,1.8060740232,0.0,2.7970936298
efop__1634124189,5,0.0,1.7367907763,0.0,2.7896766663
efop__1634124283,1,0.0,9.3884515762,0.0,9.3884515762
efop__1634124283,3,0.0,11.7678480148,0.0,4.5533890724
efop__1634124283,4,0.0,1.794408083,0.0,2.7404038906
efop__1634124283,5,0.0,1.6152377129,0.0,2.4502046108
efop__1634215324,1,0.0,8.5661878586,0.0,8.5661878586
efop__1634215324,3,0.0,11.15391922,0.0,4.3931570053
efop__1634215324,4,0.0,1.7975674868,0.0,2.7124218941
efop__1634215324,5,0.0,1.6477140188,0.0,2.731300354
efop__1634215476,1,0.0,8.3689928055,0.0,8.3689928055
efop__1634215476,3,0.0,11.1263446808,0.0,3.1249349117
efop__1634215476,4,0.0,1.8078608513,0.0,1.8692755699
efop__1634215476,5,0.0,1.7329500914,0.0,1.6186220646
efop__,1,0.0625,10.8050355911,0.0625,10.8050355911
efop__,3,0.0,13.8325948715,0.0,4.5618839264
efop__,4,0.0,1.8063943386,0.0,2.684005022
efop__,5,0.0,1.7056964636,0.0,2.6964981556
efop__1634215814,1,0.0,11.8324928284,0.0,11.8324928284
efop__1634215814,3,0.0,14.6753559113,0.0,4.9162845612
efop__1634215814,4,0.0,1.8101837635,0.0,1.8702200651
efop__1634215814,5,0.0,1.7527918816,0.0,1.8365107775
efop__1634216460,1,0.0,9.3427867889,0.0,9.3427867889
efop__1634216460,3,0.0,13.30656147,0.0,4.5210156441
efop__1634216460,4,0.0,1.8112727404,0.0,1.6453880072
efop__1634216460,5,0.0,1.735296607,0.0,2.6015529633
efop__1,1,0.0,8.801864624,0.0,8.801864624
efop__1,3,0.0,11.5988206863,0.0,3.4808094501
efop__1,4,0.0,1.8032271862,0.0,2.7953252792
efop__1,5,0.0,1.6716382504,0.0,1.5420138836
efop__1634216878,1,0.0,10.4880332947,0.0,10.4880332947
efop__1634216878,3,0.0,12.4950008392,0.0,4.6231703758
efop__1634216878,4,0.0,1.7976670265,0.0,2.671453476
efop__1634216878,5,0.0,1.6365857124,0.0,2.6587984562
efop__1634219154,1,0.0,11.3370199203,0.0,11.3370199203
efop__1634219154,3,0.0,12.3762483597,0.0,4.8951058388
efop__1634219154,4,0.0,1.8044843674,0.0,2.7455298901
efop__1634219154,5,0.0,1.70612216,0.0,2.7630212307
efop__1634465590,1,0.0,14.9443702698,0.0,14.9443702698
efop__1634465590,3,0.0,11.7316637039,0.0,3.7818262577
efop__1634465590,4,0.0,2.2502202988,0.0,1.9537178278
efop__1634465590,5,0.0,2.7822737694,0.0,2.056448698
efop__1634465590,6,0.0,2.1171956062,0.0,1.9359360933
efop__1634465590,7,0.0,2.5450148582,0.0,1.682005167
efop__1634465590,8,0.0,1.7655535936,0.0,1.6573748589
